FlightDate,DepDelay,ArrDelay,Cancelled
2016-08-20,44,43,3
2016-08-21,44,43,1
2016-08-22,36,35,0
2016-08-23,24,22,0
2016-08-24,29,30,0
2016-08-25,29,30,0
2016-08-26,29,31,0
2016-08-27,28,27,0
2016-08-28,30,31,0
2016-08-29,32,33,0
2016-08-30,24,27,0
2016-08-31,27,28,0
2016-09-01,37,40,0
2016-09-02,35,34,0
2016-09-03,22,20,0
2016-09-04,16,15,0
2016-09-05,23,23,0
2016-09-06,28,28,0
2016-09-07,27,30,0
2016-09-08,25,26,0
2016-09-09,26,27,0
2016-09-10,24,24,0
2016-09-11,25,23,0
2016-09-12,24,25,0
2016-09-13,24,28,0
2016-09-14,25,26,0
2016-09-15,28,27,0
2016-09-16,31,30,0
2016-09-17,23,22,0
2016-09-18,33,34,0
2016-09-19,38,38,0
2016-09-20,23,22,0
2016-09-21,31,32,1
2016-09-22,36,36,0
2016-09-23,32,33,0
2016-09-24,26,29,0
2016-09-25,35,36,0
2016-09-26,32,32,0
2016-09-27,20,23,0
2016-09-28,28,33,0
2016-09-29,38,40,0
2016-09-30,39,40,0
2016-10-01,26,23,0
2016-10-02,31,29,0
2016-10-03,25,25,0
2016-10-04,25,27,0
2016-10-05,25,24,0
2016-10-06,31,34,6
2016-10-07,30,29,8
2016-10-08,27,25,3
2016-10-09,29,27,1
2016-10-10,27,25,0
2016-10-11,23,21,0
2016-10-12,25,26,0
2016-10-13,33,34,0
2016-10-14,38,37,0
2016-10-15,28,26,0
2016-10-16,37,37,0
2016-10-17,30,29,0
2016-10-18,25,25,0
2016-10-19,26,27,0
2016-10-20,36,38,0
2016-10-21,36,36,0
2016-10-22,25,22,0
2016-10-23,32,30,0
2016-10-24,35,35,1
2016-10-25,28,28,0
2016-10-26,27,28,0
2016-10-27,34,34,0
2016-10-28,38,38,0
2016-10-29,21,20,0
2016-10-30,32,32,0
2016-10-31,22,22,0
2016-11-01,24,23,0
2016-11-02,24,27,0
2016-11-03,29,29,0
2016-11-04,32,30,0
2016-11-05,20,18,0
2016-11-06,28,27,0
2016-11-07,26,28,0
2016-11-08,18,21,0
2016-11-09,26,31,0
2016-11-10,32,30,0
2016-11-11,32,28,0
2016-11-12,20,18,0
2016-11-13,26,22,0
2016-11-14,31,27,0
2016-11-15,31,29,0
2016-11-16,23,21,0
2016-11-17,33,30,0
2016-11-18,37,35,0
2016-11-19,33,30,0
2016-11-20,34,32,0
2016-11-21,33,28,0
2016-11-22,34,30,0
2016-11-23,30,29,0
2016-11-24,17,13,0
2016-11-25,16,13,0
2016-11-26,27,26,0
2016-11-27,36,37,0
2016-11-28,41,41,0
2016-11-29,35,33,0
2016-11-30,36,36,0
2016-12-01,26,25,0
2016-12-02,26,27,0
2016-12-03,23,23,0
2016-12-04,34,37,1
2016-12-05,41,43,0
2016-12-06,27,32,0
2016-12-07,28,31,0
2016-12-08,39,42,0
2016-12-09,39,39,1
2016-12-10,33,33,1
2016-12-11,39,41,7
2016-12-12,43,45,0
2016-12-13,29,36,0
2016-12-14,34,38,0
2016-12-15,52,53,2
2016-12-16,55,54,4
2016-12-17,64,63,11
2016-12-18,68,65,6
2016-12-19,57,50,1
2016-12-20,52,44,0
2016-12-21,45,40,0
2016-12-22,49,44,0
2016-12-23,48,44,1
2016-12-24,37,30,0
2016-12-25,31,28,1
2016-12-26,49,46,1
2016-12-27,47,41,0
2016-12-28,41,36,0
2016-12-29,42,40,0
2016-12-30,39,36,0
2016-12-31,31,27,0
2017-01-01,40,38,0
2017-01-02,57,60,2
2017-01-03,50,49,1
2017-01-04,46,45,1
2017-01-05,49,50,1
2017-01-06,48,49,6
2017-01-07,55,56,12
2017-01-08,57,53,5
2017-01-09,52,50,2
2017-01-10,42,43,3
2017-01-11,32,35,1
2017-01-12,43,42,0
2017-01-13,37,37,1
2017-01-14,28,26,2
2017-01-15,29,27,1
2017-01-16,35,34,1
2017-01-17,27,28,0
2017-01-18,29,32,1
2017-01-19,31,31,0
2017-01-20,35,35,1
2017-01-21,33,35,0
2017-01-22,48,51,3
2017-01-23,46,46,2
2017-01-24,24,27,0
2017-01-25,22,24,0
2017-01-26,27,29,0
2017-01-27,29,31,0
2017-01-28,18,21,0
2017-01-29,29,31,1
2017-01-30,25,24,0
2017-01-31,21,23,1
2017-02-01,25,28,0
2017-02-02,28,31,0
2017-02-03,29,31,0
2017-02-04,20,20,0
2017-02-05,22,22,0
2017-02-06,35,37,1
2017-02-07,30,35,1
2017-02-08,35,37,2
2017-02-09,32,33,15
2017-02-10,39,37,1
2017-02-11,26,24,0
2017-02-12,29,29,3
2017-02-13,25,24,3
2017-02-14,19,20,0
2017-02-15,28,31,0
2017-02-16,35,35,0
2017-02-17,36,34,3
2017-02-18,38,34,0
2017-02-19,26,26,0
2017-02-20,34,33,1
2017-02-21,25,26,0
2017-02-22,27,26,0
2017-02-23,31,31,0
2017-02-24,36,37,0
2017-02-25,33,34,0
2017-02-26,29,27,0
2017-02-27,29,32,0
2017-02-28,27,32,1
2017-03-01,41,44,1
2017-03-02,38,38,0
2017-03-03,36,35,0
2017-03-04,26,26,0
2017-03-05,32,33,0
2017-03-06,32,35,1
2017-03-07,31,34,0
2017-03-08,30,31,0
2017-03-09,33,34,0
2017-03-10,41,44,1
2017-03-11,35,35,0
2017-03-12,42,43,0
2017-03-13,47,49,7
2017-03-14,31,31,25
2017-03-15,38,36,4
2017-03-16,38,35,0
2017-03-17,34,33,0
2017-03-18,33,33,0
2017-03-19,31,31,0
2017-03-20,30,29,0
2017-03-21,23,23,0
2017-03-22,27,27,0
2017-03-23,30,32,0
2017-03-24,36,39,0
2017-03-25,28,27,0
2017-03-26,29,29,0
2017-03-27,33,36,0
2017-03-28,31,34,0
2017-03-29,29,31,0
2017-03-30,38,43,0
2017-03-31,43,44,1
2017-04-01,33,31,1
2017-04-02,37,37,1
2017-04-03,40,42,1
2017-04-04,39,42,0
2017-04-05,40,42,7
2017-04-06,52,53,11
2017-04-07,50,48,6
2017-04-08,39,35,3
2017-04-09,37,35,1
2017-04-10,36,36,0
2017-04-11,29,28,0
2017-04-12,25,24,0
2017-04-13,29,29,0
2017-04-14,20,21,0
2017-04-15,18,18,0
2017-04-16,21,21,0
2017-04-17,32,34,0
2017-04-18,28,28,0
2017-04-19,29,30,0
2017-04-20,35,40,0
2017-04-21,38,38,0
2017-04-22,27,27,0
2017-04-23,34,36,1
2017-04-24,36,37,0
2017-04-25,30,31,0
2017-04-26,38,41,0
2017-04-27,38,41,0
2017-04-28,37,40,0
2017-04-29,36,41,2
2017-04-30,43,45,1
2017-05-01,39,40,1
2017-05-02,26,27,0
2017-05-03,31,35,1
2017-05-04,36,39,0
2017-05-05,46,49,1
2017-05-06,30,29,0
2017-05-07,33,31,0
2017-05-08,29,29,0
2017-05-09,30,30,0
2017-05-10,33,34,0
2017-05-11,39,39,0
2017-05-12,35,34,0
2017-05-13,33,32,0
2017-05-14,27,24,0
2017-05-15,35,32,0
2017-05-16,31,30,0
2017-05-17,34,35,0
2017-05-18,41,41,1
2017-05-19,47,48,0
2017-05-20,41,40,1
2017-05-21,43,41,1
2017-05-22,44,44,1
2017-05-23,38,39,0
2017-05-24,45,49,0
2017-05-25,47,47,2
2017-05-26,42,38,1
2017-05-27,29,26,0
2017-05-28,27,25,0
2017-05-29,32,32,0
2017-05-30,36,37,1
2017-05-31,31,30,0
2017-06-01,34,36,0
2017-06-02,31,32,1
2017-06-03,32,30,1
2017-06-04,41,42,1
2017-06-05,44,47,0
2017-06-06,39,40,1
2017-06-07,38,39,1
2017-06-08,38,37,0
2017-06-09,39,37,0
2017-06-10,28,24,0
2017-06-11,34,32,0
2017-06-12,37,36,0
2017-06-13,38,40,0
2017-06-14,42,43,3
2017-06-15,49,49,2
2017-06-16,46,45,1
2017-06-17,38,36,0
2017-06-18,41,41,0
2017-06-19,50,50,6
2017-06-20,48,44,1
2017-06-21,40,39,0
2017-06-22,40,42,0
2017-06-23,45,47,1
2017-06-24,43,42,0
2017-06-25,35,32,0
2017-06-26,33,31,0
2017-06-27,36,37,0
2017-06-28,38,37,0
2017-06-29,38,39,0
2017-06-30,44,45,0
2017-07-01,45,42,1
2017-07-02,31,26,0
2017-07-03,23,22,0
2017-07-04,19,18,0
2017-07-05,33,33,0
2017-07-06,30,30,0
2017-07-07,38,42,0
2017-07-08,33,32,0
2017-07-09,31,30,0
2017-07-10,47,48,2
2017-07-11,40,41,1
2017-07-12,44,44,4
2017-07-13,46,46,1
2017-07-14,45,44,2
2017-07-15,41,38,1
2017-07-16,35,31,0
2017-07-17,41,42,1
2017-07-18,37,37,0
2017-07-19,37,37,0
2017-07-20,47,45,1
2017-07-21,43,43,1
2017-07-22,43,40,1
2017-07-23,44,44,2
2017-07-24,51,50,1
2017-07-25,40,39,0
2017-07-26,35,34,0
2017-07-27,37,38,0
2017-07-28,43,46,0
2017-07-29,35,31,0
2017-07-30,34,32,0
2017-07-31,31,27,0
2017-08-01,33,33,0
2017-08-02,37,38,3
2017-08-03,51,53,4
2017-08-04,53,52,4
2017-08-05,44,41,0
2017-08-06,42,43,0
2017-08-07,48,51,1
2017-08-08,36,36,0
2017-08-09,32,31,0
2017-08-10,41,43,0
2017-08-11,43,44,1
2017-08-12,37,39,0
2017-08-13,35,33,0
2017-08-14,38,37,0
2017-08-15,36,38,0
2017-08-16,35,35,0
2017-08-17,40,42,0
2017-08-18,42,43,2
2017-08-19,31,28,0
