Date,Airline,TotalCancelled
2018-Dec,Mesa Airlines,432
2018-Dec,Republic Airways,243
2018-Dec,Frontier Airlines,70
2018-Dec,Delta Air Lines,54
2018-Dec,Express Jet Airlines,630
2018-Dec,Allegiant Air,62
2018-Dec,Hawaiian Airlines,6
2018-Dec,Envoy Air,572
2018-Dec,Spirit Airlines,52
2018-Dec,PSA Airlines,1019
2018-Dec,SkyWest Airlines,848
2018-Dec,SkyWest Airlines,75
2018-Dec,Endeavor Air,116
2018-Dec,American Airlines,1386
2018-Dec,Alaska Airlines,203
2018-Dec,Jetblue Airways,53
2019-Jan,SkyWest Airlines,2821
2019-Jan,Alaska Airlines,429
2019-Jan,Endeavor Air,341
2019-Jan,American Airlines,1511
2019-Jan,Envoy Air,1939
2019-Jan,Southwest Airlines,3949
2019-Jan,Allegiant Air,50
2019-Jan,PSA Airlines,751
2019-Jan,Jetblue Airways,980
2019-Jan,Spirit Airlines,199
2019-Jan,Delta Air Lines,328
2019-Jan,Mesa Airlines,477
2019-Jan,Express Jet Airlines,964
2019-Jan,Frontier Airlines,151
2019-Jan,Republic Airways,1132
2019-Jan,SkyWest Airlines,697
2019-Jan,Hawaiian Airlines,7
2019-Feb,PSA Airlines,1013
2019-Feb,Jetblue Airways,345
2019-Feb,Spirit Airlines,207
2019-Feb,Envoy Air,1417
2019-Feb,Allegiant Air,91
2019-Feb,Mesa Airlines,566
2019-Feb,Republic Airways,952
2019-Feb,Express Jet Airlines,527
2019-Feb,Frontier Airlines,107
2019-Feb,Hawaiian Airlines,13
2019-Feb,Delta Air Lines,64
2019-Feb,Alaska Airlines,874
2019-Feb,SkyWest Airlines,2799
2019-Feb,SkyWest Airlines,210
2019-Feb,American Airlines,860
2019-Feb,Southwest Airlines,4578
2019-Feb,Endeavor Air,632
2019-Mar,American Airlines,1719
2019-Mar,Alaska Airlines,267
2019-Mar,Delta Air Lines,66
2019-Mar,SkyWest Airlines,1609
2019-Mar,Frontier Airlines,182
2019-Mar,Express Jet Airlines,432
2019-Mar,SkyWest Airlines,644
2019-Mar,Republic Airways,348
2019-Mar,Endeavor Air,186
2019-Mar,Southwest Airlines,5294
2019-Mar,Allegiant Air,42
2019-Mar,Envoy Air,379
2019-Mar,PSA Airlines,414
2019-Mar,Jetblue Airways,425
2019-Mar,Spirit Airlines,120
2019-Mar,Hawaiian Airlines,8
2019-Mar,Mesa Airlines,429
2019-Apr,Envoy Air,1038
2019-Apr,Jetblue Airways,363
2019-Apr,Endeavor Air,385
2019-Apr,Hawaiian Airlines,7
2019-Apr,Mesa Airlines,479
2019-Apr,Spirit Airlines,458
2019-Apr,Express Jet Airlines,848
2019-Apr,Southwest Airlines,4649
2019-Apr,American Airlines,2634
2019-Apr,PSA Airlines,550
2019-Apr,SkyWest Airlines,529
2019-Apr,Allegiant Air,64
2019-Apr,Alaska Airlines,164
2019-Apr,SkyWest Airlines,1420
2019-Apr,Republic Airways,572
2019-Apr,Delta Air Lines,146
2019-Apr,Frontier Airlines,182
2019-May,Republic Airways,677
2019-May,Alaska Airlines,116
2019-May,SkyWest Airlines,380
2019-May,Jetblue Airways,81
