Airport,AvgDist,AvgDepDelay,OnTimeDepRate,CancellationRate,AvgArrDelay,OnTimeArrRate
RHI,171.30152933120291,6.131020314996576,82,2,-0.9762773722627737,78
RIC,533.8748824665998,10.865376468521713,69,2,7.349811929070392,63
RKS,259.138236977676,4.1242129364625075,84,2,0.5858614768174013,74
RNO,569.9046142622652,8.310353212961274,66,1,4.393945288753799,63
ROA,396.587636865247,11.238727476506595,68,2,4.927863483581833,66
ROC,459.3482070949185,9.226538830297219,72,2,5.178570058685896,66
ROW,434.4112664125371,5.912748835239305,79,2,2.9322321050402373,71
RST,293.25069380203513,11.049722479185938,74,3,7.490055504162812,65
RSW,976.8027588424437,9.297717041800643,68,1,2.903295713964181,66
SAF,516.0590909090909,9.888903743315508,75,2,6.779708595107606,64
SAN,1008.149615442832,7.802750080411708,64,1,2.8776099563864106,63
SAT,757.9142386206584,7.722840247411469,67,1,4.307544615802858,63
SAV,514.9311610182947,10.98567471728737,68,2,4.885409315455187,66
SBA,453.92486211811365,9.3245336803619,74,2,6.215702069649275,64
SBN,380.466659862557,11.279955092876097,70,1,8.076690143241128,66
SBP,339.88799841693873,11.195903829029385,72,1,6.6732785912148795,65
SCC,278.63665158371043,-5.234162895927602,83,1,-1.8260180995475113,75
SCE,423.08788819875775,10.822981366459627,75,1,7.195409429280397,65
SCK,388.42424242424244,18.262626262626263,45,0,6.706906232453678,59
SDF,552.8391482286737,9.419209617598158,69,1,4.834209550123438,64
SEA,1277.3263931650818,6.7084862252596995,65,0,1.9924412617483922,62
SFB,850.1313498893534,8.548905827391197,70,0,14.508693516699411,56
SFO,1198.4356691053283,12.019219939855176,62,1,10.007576102687379,60
SGF,523.2397332159665,10.618444662626537,70,2,5.879757551130977,63
SGU,342.8808718231175,3.1651585490597216,78,0,1.9405333123574293,64
SHD,220.21021897810218,19.459124087591242,75,2,17.82520029133285,67
SHV,381.6542076991943,9.0974229441105,73,1,5.8530860249440355,66
SIT,295.9992688989618,-0.901740020470829,80,0,-1.4619207718169858,70
SJC,771.9064510075582,6.864112402528178,64,1,2.6216038011053255,64
SJT,229.0,6.389689496360125,74,2,4.119037004012483,65
SJU,1376.2273962001316,10.99363077042139,63,1,7.337035259882983,59
SLC,756.0883673822465,5.8760038061734985,71,0,0.6942140721259502,70
SLN,245.58040665434382,22.06407886629698,71,2,13.107758620689655,66
SMF,732.7226147392481,7.305841391621742,63,0,4.139438772120219,62
SMX,224.32563791008505,10.39307411907655,71,1,3.6048632218844983,67
SNA,791.2967653635593,6.7202559950651555,65,0,1.4614109802863584,65
