Origin,Description,count(c.Description)
EWN,National Air System,12
OGG,National Air System,11
HYA,National Air System,2
ITO,Weather,7
KTN,National Air System,1
HDN,National Air System,9
ILM,National Air System,94
VLD,National Air System,5
GTR,National Air System,3
JFK,Security,19
ORD,Security,9
LAX,Security,14
ITH,National Air System,3
PHX,Security,18
PDX,Security,1
DCA,Security,11
SEA,Security,1
OKC,Security,2
SLC,Security,1
LWS,Weather,5
CIU,National Air System,4
IDA,National Air System,2
PGD,Carrier,16
PGD,Weather,41
FLL,Security,128
DFW,Security,11
PHL,Security,7
BOS,Security,8
EWR,Security,13
RSW,Security,1
BUF,Security,1
SWF,Security,1
CLE,Security,2
IAG,Security,2
STT,Security,1
ATL,Security,11
BWI,Security,5
BQN,Security,2
DTW,Security,6
PBG,Security,1
OAK,Security,2
CAK,Security,1
PLN,National Air System,14
DAL,Security,1
CLT,Security,7
PVD,Security,2
RIC,Security,1
JAX,Security,4
BDL,Security,2
SYR,Security,1
HPN,Security,3
TLH,National Air System,46
ALB,Security,1
BNA,Security,1
RDU,Security,1
AUS,Security,2
CHS,Security,1
MSP,Security,2
PIT,Security,1
ORH,Security,1
MYR,Security,2
IAH,Security,4
LBE,Security,2
DEN,Security,2
DRO,National Air System,29
IAD,Security,1
BLI,National Air System,2
LWS,Carrier,1
EYW,National Air System,24
MLB,National Air System,5
ADK,Carrier,3
MVY,Weather,11
PBG,National Air System,3
FNT,Security,1
MDW,Security,1
BGM,National Air System,7
SAT,Security,1
MVY,National Air System,11
MEI,Weather,47
STS,Weather,148
PIB,Weather,29
STS,Carrier,15
AGS,National Air System,13
ANC,National Air System,3
SWF,National Air System,4
STS,National Air System,40
HYA,Weather,1
YAK,National Air System,2
WYS,Weather,2
WYS,National Air System,1
PPG,Carrier,1
CGI,Weather,43
CKB,Weather,35
UIN,Weather,81
UIN,National Air System,33
BQK,National Air System,5
PIE,Weather,52
SFB,Weather,109
PSM,Weather,5
SFB,National Air System,5
AZA,Weather,44
OGD,Weather,2
OWB,Weather,3
OGS,National Air System,5
OWB,National Air System,1
CKB,National Air System,8
OGS,Weather,20
HVN,Weather,105
HVN,Carrier,37
LYH,Weather,30
LYH,Carrier,35
PIB,National Air System,7
MEI,National Air System,6
PSM,Carrier,4
USA,Weather,22
PVU,Weather,7
SWO,Weather,33
ABI,National Air System,24
SPS,National Air System,17
GGG,National Air System,17
PIA,Security,2
BFF,Weather,28
LBF,Weather,29
LBF,National Air System,3
USA,Carrier,10
LCK,Carrier,6
PIE,Carrier,25
SJT,National Air System,28
ROW,National Air System,3
SWO,National Air System,16
FLO,Carrier,2
BLV,Security,3
VPS,Security,1
RFD,Weather,7
SWO,Carrier,6
HTS,National Air System,7
PGV,Carrier,25
FLO,Weather,1
PGV,Weather,45
LBL,Weather,21
LWB,National Air System,11
SHD,Weather,22
PGD,National Air System,2
LCK,Weather,10
PVU,Carrier,5
HTS,Carrier,20
JLN,National Air System,14
HVN,National Air System,22
LWB,Carrier,7
SHD,National Air System,10
CGI,National Air System,11
LWB,Weather,29
OGS,Carrier,12
BLV,Carrier,5
SFB,Carrier,13
RFD,Carrier,3
AZA,Carrier,25
BLV,Weather,8
SCK,Carrier,5
USA,National Air System,3
PIE,National Air System,1
HTS,Weather,20
SLN,Weather,35
SHD,Carrier,6
BKG,Carrier,4
SPN,Carrier,2
HHH,Weather,68
FAI,National Air System,1
CGI,Carrier,3
HHH,Carrier,6
DLG,Weather,3
SBA,Security,1
TUS,Security,1
SBP,Security,1
IND,Security,1
SJC,Security,1
SMF,Security,1
SPN,Weather,6
OWB,Carrier,1
PGV,National Air System,2
SPN,National Air System,1
CYS,National Air System,2
LBL,National Air System,2
EAR,Weather,26
SCK,Weather,3
DRT,National Air System,2
ART,Weather,33
PRC,Weather,12
EAR,National Air System,6
SLN,National Air System,4
BFF,Carrier,2
LBF,Carrier,2
MLU,Security,1
BRW,National Air System,2
ART,Carrier,4
SCK,National Air System,1
HHH,National Air System,4
HOB,Carrier,2
CNY,National Air System,8
CNY,Carrier,1
LBL,Carrier,1
CKB,Carrier,2
VEL,Carrier,1
BFF,National Air System,2
UIN,Carrier,5
CYS,Weather,29
DRT,Weather,8
COU,Security,1
PIR,Weather,21
ATY,Weather,22
ATY,National Air System,3
PIR,Carrier,3
PAE,Weather,18
PAE,National Air System,13
ATY,Carrier,1
BKG,Weather,8
BFM,Weather,4
BFM,Carrier,3
VEL,National Air System,3
PIR,National Air System,4
EAR,Carrier,2
BUR,Security,1
MVY,Carrier,2
AKN,Carrier,1
FSM,Security,1
CYS,Carrier,3
STS,Security,1
ANC,Security,1
BHM,Security,1
HGR,Weather,1
XWA,Weather,3
KOA,National Air System,1
PRC,National Air System,1
