Dest,AVG(CarrierDelay),AVG(WeatherDelay),AVG(NASDelay),AVG(SecurityDelay),AVG(LateAircraftDelay),COUNT(carrierDelay),COUNT(WeatherDelay),COUNT(NASDelay),COUNT(SecurityDelay),COUNT(LateAircraftDelay)
MFR,4.6136,0.7467,1.6901,0.0001,5.6826,1449,131,1655,1,1953
MLU,5.5248,0.7182,1.5088,0.0021,4.6751,1289,119,1145,2,1342
BRO,3.8630,0.6572,1.6311,0.0017,3.6170,825,126,898,1,815
TYR,3.1845,1.6143,1.3917,0.0168,3.5176,484,161,530,4,519
RHI,3.7377,2.8107,1.3814,0.0000,2.4031,162,67,200,0,205
IMT,3.6875,0.9810,0.7901,0.0077,3.1124,148,30,145,1,206
GJT,2.5417,0.5097,1.1437,0.0022,2.4108,889,163,1033,3,926
PLN,5.5933,2.6436,1.0926,0.0738,3.0305,279,94,274,13,294
SGU,2.6167,0.4178,1.4979,0.0028,2.7002,656,65,1035,1,733
VEL,3.1345,0.2908,0.9401,0.0000,4.4123,76,7,75,0,86
HIB,3.1102,1.8422,1.0735,0.0041,1.4538,132,52,189,1,131
ESC,4.6408,2.1254,1.1347,0.0000,4.0598,182,55,174,0,229
INL,3.1460,0.7853,0.9896,0.0000,2.7218,118,33,147,0,203
ABR,3.7889,2.3222,1.0979,0.0000,2.6934,149,34,164,0,186
TWF,2.5291,1.2450,1.3242,0.0000,1.0125,216,44,321,0,144
SPI,5.2949,0.8315,1.9417,0.0193,5.4283,768,126,803,6,919
EKO,2.5986,1.5181,0.8130,0.0000,0.9370,87,28,164,0,84
MMH,7.5598,1.8986,1.4950,0.0000,5.8064,110,18,106,0,127
BRD,4.9232,3.6360,0.7610,0.0000,2.0489,129,40,113,0,163
PIH,2.2746,0.9684,1.1294,0.0004,1.0948,187,29,268,1,149
AZO,4.4392,1.4413,1.9632,0.0000,4.0403,841,235,919,0,970
LWS,1.4801,1.0351,0.4885,0.0000,0.4832,105,20,88,0,54
CIU,4.8241,1.8034,1.3710,0.3255,3.7150,207,43,213,2,223
HLN,2.3327,0.6704,0.9697,0.0022,2.7018,373,81,410,1,463
