Tail_Number,AVG(TaxiIn)
N809JB,6.7775
N509JB,6.8288
N508JB,6.4856
N558JB,6.5364
N594JB,6.7567
N569JB,6.8498
N584JB,6.7521
N639JB,6.5617
N653JB,6.6355
N944JB,8.7718
N935JB,9.1265
N929JB,8.8933
N934JB,9.0193
N943JB,8.7935
N923JB,9.1948
N937JB,9.1106
N942JB,8.8950
N945JB,8.8617
N662JB,6.7937
N531JB,6.6630
N643JB,6.7038
N632JB,6.8909
N661JB,6.5376
N821JB,6.6598
N768JB,6.5338
N554JB,6.6966
N789JB,6.6512
N827JB,6.8430
N649JB,6.5376
N590JB,6.5611
N603JB,6.6557
N779JB,6.4655
N592JB,6.6812
N804JB,6.7354
N621JB,6.6467
N535JB,6.6796
N763JB,6.5201
N591JB,6.7013
N520JB,6.6111
N570JB,6.7892
N793JB,6.6406
N665JB,6.6124
N517JB,6.5603
N807JB,6.7274
N828JB,6.7891
N267JB,5.9921
N328JB,6.3087
N184JB,6.0574
N534JB,6.6168
N629JB,6.6892
N598JB,6.7421
N547JB,6.6470
N638JB,6.7564
N561JB,6.6476
N658JB,6.7393
N368JB,6.3283
N197JB,5.9930
N374JB,6.3326
N337JB,6.2371
N279JB,6.0899
N247JB,5.9691
N187JB,6.0533
N284JB,6.1298
N192JB,6.1044
N239JB,6.1685
N571JB,6.6533
N615JB,6.7452
N652JB,6.6480
N298JB,6.0633
N296JB,6.1220
N266JB,6.0668
N317JB,6.3105
N236JB,6.0359
N529JB,6.8420
N630JB,6.8009
N580JB,6.8541
N507JB,6.6940
N703JB,6.6172
N564JB,6.5785
N198JB,6.0620
N228JB,6.0741
N307JB,6.0742
N358JB,6.3383
N354JB,6.2427
N283JB,6.1247
N375JB,6.3629
N273JB,6.0279
N190JB,5.9688
N306JB,6.0358
N606JB,6.8295
N258JB,6.0527
N238JB,5.9434
N216JB,6.0588
N309JB,6.0331
N183JB,6.1779
N334JB,6.2777
N203JB,6.0193
N329JB,6.2849
N229JB,6.0953
N265JB,6.0586
N325NB,6.9992
N343NB,7.5800
N335NB,7.0580
N341NB,7.4700
N356NW,7.1265
N373DA,7.5957
N314NB,7.1941
N547US,7.8711
N309US,7.0403
N144DA,7.5672
N128DL,8.9624
N319US,6.9297
N553NW,7.4794
N933AT,7.1728
N937AT,7.0062
N399DA,7.5077
N381DN,7.6086
N3756,7.7915
N6701,7.4739
N194DN,11.2401
N155DL,11.5432
N710TW,10.5059
N190DN,11.1090
N706TW,10.2463
N178DN,11.7190
N967DL,6.8565
N180DN,11.3448
N713TW,10.2540
N3752,7.8164
N995AT,6.9544
N624AG,10.1852
N686DA,7.5502
N718TW,10.4202
N811DZ,7.3165
N703TW,10.0684
N3734B,7.3952
N6704Z,7.5552
N925DL,6.8116
N955DL,6.7097
N3762Y,7.7863
N699DL,7.7675
N388DA,7.6997
N3758Y,7.7469
N894AT,7.0798
N712TW,10.1989
N196DN,11.1843
N723TW,10.3190
N914DL,6.8000
N3749D,7.6680
N910DE,6.7970
N929AT,7.0685
N380DA,7.7851
N702TW,10.1193
N336NW,7.0428
N124DE,9.2009
N674DL,7.6554
N365NW,7.0429
N551NW,7.5462
N914DE,6.9437
N375NC,7.2543
N67171,7.6121
N913DN,6.4693
N919DE,6.6149
N923DL,6.7485
N678DL,7.5354
N915DE,6.7858
N660DL,7.7400
N943DL,6.6878
N3751B,7.8023
N695DL,7.5167
N3766,7.5685
N318NB,7.2101
N557NW,7.5030
N323NB,7.2040
N651DL,7.2300
N187DN,10.5474
N192DN,11.2227
N375DA,7.3556
N947DL,6.6698
N6702,7.6542
N824DN,7.2844
N935AT,7.1155
N607AT,6.9779
N818DA,7.2059
N974DL,6.6842
N943DN,6.2539
N334NB,7.0864
N904DA,6.4409
N946DL,6.6508
N3733Z,7.6411
N944DL,6.7416
N957DN,6.3671
N336NB,7.1723
N3773D,7.6433
N661DN,7.3126
N935DN,6.5799
N341NW,7.1158
N965DN,6.2626
N314US,6.4172
N374DA,7.7391
N342NW,7.0633
N371NB,7.4272
N933DN,6.4253
N810DN,7.1980
N927AT,7.0765
N302DQ,6.7890
N903DA,6.4676
N918DE,6.7218
N345NW,7.1285
N329NB,7.2316
N964DN,6.2883
N966DL,6.7261
N952DN,6.3763
N996DL,6.7237
N975DL,6.6907
N311US,6.5162
N670DN,7.5958
N322US,6.9605
N902DA,6.6006
N806DN,7.1549
N962DN,6.5257
N556NW,7.6013
N384DA,7.7091
N369NW,6.9758
N955DN,6.4138
N353NW,7.2856
N917DN,6.4517
N3739P,7.4856
N923DN,6.4430
N364NB,7.3069
N801DZ,7.1917
N929DL,6.7006
N612DL,7.2302
N959DN,6.4321
N633DL,7.0381
N635DL,7.0475
N948DL,6.7687
N3730B,7.6784
N368NB,7.1450
N548US,8.1686
N931DN,6.4435
N903DE,6.7108
N374NW,7.1855
N907DL,6.6735
N334NW,7.2491
N822DN,7.2595
N3743H,7.4377
N940DN,6.3406
N3736C,7.4925
N906DA,6.4504
N910AT,7.3040
N932DL,6.7119
N359NW,7.0585
N692DL,7.6908
N6712B,7.5590
N361NB,7.0687
N804NW,8.8863
N909DE,6.7126
N920DN,6.5340
N977DL,6.7163
N920DL,6.8108
N519US,7.4831
N667DN,7.5770
N313US,6.4695
N930DL,6.5630
N344NW,7.2826
N324NB,7.0844
N978AT,7.0434
N963DL,6.6880
N938DN,6.4743
N303DQ,6.5893
N310NW,6.5345
N941DL,6.8379
N652DL,7.1643
N918DL,6.6636
N823DN,7.3578
N807DN,7.4070
N924DN,6.5071
N623DL,7.1736
N523US,7.5087
N554NW,7.5021
N3748Y,7.5949
