Tail_Number,AVG(TaxiOut)
N964DN,17.1882
N966DL,16.3185
N952DN,16.7705
N996DL,16.2180
N975DL,16.3554
N311US,16.6413
N670DN,17.4532
N322US,17.8007
N902DA,17.3449
N806DN,17.0655
N962DN,16.9261
N556NW,17.5150
N384DA,17.5281
N369NW,17.4694
N955DN,17.3233
N353NW,17.4039
N917DN,16.7363
N3739P,17.6778
N923DN,16.9481
N364NB,17.5662
N801DZ,17.1142
N929DL,16.9830
N612DL,17.6279
N959DN,17.4629
N633DL,17.4347
N635DL,17.2129
N948DL,16.6125
N3730B,17.8641
N368NB,17.2558
N548US,17.7190
N931DN,16.6726
N903DE,16.5359
N374NW,17.3201
N907DL,16.5988
N334NW,17.7722
N822DN,17.2462
N3743H,17.8882
N940DN,17.1619
N3736C,17.6650
N906DA,17.0056
N910AT,17.3956
N932DL,16.7110
N359NW,17.2425
N692DL,17.4037
N6712B,17.7927
N361NB,17.1826
N804NW,21.3839
N909DE,16.1894
N920DN,16.8676
N977DL,16.7017
N920DL,17.1977
N519US,17.6881
N667DN,17.3489
N313US,16.9159
N930DL,17.1667
N344NW,17.9921
N324NB,17.0744
N978AT,16.9455
N963DL,16.3558
N938DN,16.9909
N303DQ,15.7375
N310NW,16.6854
N941DL,16.8529
N652DL,17.7729
N918DL,16.6728
N823DN,17.3731
N807DN,17.1921
N924DN,16.7701
N623DL,17.1371
N523US,17.4514
N554NW,17.3821
N3748Y,17.8289
N370NW,17.3933
N921AT,17.0750
N896AT,16.9433
N669DN,17.0881
N308DE,15.6217
N335NW,17.5295
N671DN,17.4528
N910DN,16.6251
N926DL,16.8783
N696DL,17.9423
N928DL,17.6155
N815DN,17.1578
N940DL,16.9795
N939DL,16.6290
N942DN,16.9168
N928DN,16.7129
N956AT,16.8657
N327NW,17.5625
N383DN,17.7385
N988DL,16.2516
N693DL,17.5519
N994DL,16.3815
N371DA,17.5552
N352NW,17.7047
N924DL,16.6696
N371NW,17.2484
N6714Q,21.2067
N321US,17.8937
N344NB,18.5427
N332NB,16.9910
N378DA,17.6136
N315NB,16.8694
N990AT,17.1327
N804DN,17.4081
N534US,17.1492
N892AT,17.1449
N927DA,16.9451
N594NW,18.5057
N922DX,16.9287
N937DL,16.5281
N595NW,18.5141
N379DA,17.8456
N901DE,16.3925
N963DN,16.8858
N934AT,17.2092
N322NB,16.6726
N829DN,17.3522
N981DL,16.4619
N908DA,16.9207
N932DN,16.9845
N915DN,16.7253
N697DL,17.4965
N977AT,16.6462
N372DA,17.7744
N904DE,16.3713
N993DL,16.3272
N370NB,17.1636
N542US,17.4874
N980DL,16.6987
N970AT,16.7565
N994AT,17.0069
N936DL,16.9503
N682DA,17.5912
N939DN,16.8876
N911DL,16.3092
N588NW,18.6916
N920AT,17.0084
N317US,17.3484
N966AT,17.1823
