Origin,AVG(CarrierDelay),AVG(WeatherDelay),AVG(NASDelay),AVG(SecurityDelay),AVG(LateAircraftDelay),COUNT(carrierDelay),COUNT(WeatherDelay),COUNT(NASDelay),COUNT(SecurityDelay),COUNT(LateAircraftDelay)
LBL,6.8364,1.6164,4.0801,0.0000,4.4874,52,12,112,0,80
PGV,6.0748,0.5174,1.4129,0.0707,9.2920,145,12,70,1,141
LWB,6.5012,0.7792,5.4448,0.0008,14.4037,28,12,192,1,238
SHD,10.9737,0.4905,4.3336,0.0124,8.3803,92,10,114,2,109
SLN,11.4307,1.0080,6.8226,0.0018,9.1522,78,13,239,1,222
BKG,1.7715,0.0000,6.8742,0.0000,9.6755,14,0,55,0,52
HHH,5.5884,0.9635,3.4543,0.0286,6.6267,180,47,327,2,259
PRC,6.8273,1.0031,4.3957,0.0164,5.3453,99,10,133,1,82
EAR,5.5170,1.8869,3.6527,0.0000,3.1776,29,7,75,0,48
DRT,4.4158,3.4982,1.1816,0.0000,2.7252,37,27,45,0,52
CYS,12.0262,0.9459,2.7068,0.0733,7.1920,67,6,66,2,64
ART,5.2778,1.2037,1.4481,0.0926,6.8630,45,5,21,2,22
PAE,3.1650,0.3479,8.7204,0.0012,4.7839,54,5,232,1,145
PIR,4.9178,4.5388,2.6393,0.0289,8.3820,22,13,39,3,54
ATY,9.4837,4.2352,4.9254,0.0000,5.5373,19,10,63,0,56
BFM,0.5063,0.0000,8.3861,0.0000,7.5949,4,0,39,0,19
XWA,9.9034,8.4493,2.0435,0.4396,10.3913,16,10,23,4,20
